,134765,197672,198124,201820,255848,31317,313217,313459,316139,316866,317002,318736,321588,35622016,3654597,3655005,36676288,36713755,37016924,37018196,37109909,37110522,37150978,37153627,37153816,37309626,37311061,37311069,373503,373995,377091,378143,381549,4007663,4009853,4010813,4013886,4020553,4021291,4022846,4024166,4024366,4024552,4024618,4029305,4033232,4041284,4043344,4046360,4046731,40479589,40479625,4052460,4052648,4052946,4056822,4059015,40599742,4068351,4070299,4070767,4077953,4079975,4083171,4084390,4085730,4090739,4102202,4103842,4114614,4116678,4119715,4119952,4131044,4133004,4137275,4143576,4146455,4150054,4150603,4156503,4159131,4159324,4165535,4166231,4167605,4169009,4172676,4178501,4179955,4180770,4181165,4185284,4185607,4189511,4192115,4194238,4196427,4196955,4200516,4201029,4201412,4201926,4206471,4208414,4213477,4215133,4217691,4217808,4217949,4224118,4225865,4229881,4231363,4232457,4234469,4234649,4234656,4238738,4241216,4242843,4245997,4249566,4251306,42536002,42538532,4268546,4273629,4275208,4275337,4276568,4282394,4283095,4285282,4285288,4287112,42872749,4295287,4299535,4301936,43020873,4302666,4304917,4306655,4306703,4309238,4310996,432250,4322978,432585,4326744,4327941,432867,4329041,4329728,4329847,433736,436940,439393,440377,440383,440417,440424,441589,442310,442985,443432,443784,444031,44784217,44784326,44791753,44800078,44803656,44804450,44805124,46270002,46271022,46272492,604179,606770,81902
134765,0.0,6.0,8.0,8.0,9.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,10.0,8.0,6.0,7.0,6.0,6.0,7.0,9.0,9.0,14.0,8.0,10.0,8.0,8.0,9.0,6.0,8.0,8.0,13.0,10.0,10.0,9.0,12.0,12.0,7.0,10.0,9.0,6.0,9.0,10.0,10.0,5.0,9.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,10.0,6.0,9.0,9.0,11.0,7.0,8.0,7.0,8.0,9.0,10.0,6.0,7.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,6.0,11.0,10.0,13.0,10.0,7.0,8.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,7.0,8.0,9.0,6.0,13.0,11.0,11.0,9.0,9.0,6.0,11.0,8.0,9.0,12.0,13.0,13.0,9.0,12.0,11.0,11.0,9.0,10.0,9.0,7.0,9.0,8.0,10.0,8.0,11.0,7.0,7.0,10.0,8.0,7.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,13.0,11.0,8.0,9.0,6.0,9.0,8.0,8.0,8.0,7.0,12.0,6.0,8.0,6.0,8.0,7.0,8.0,9.0,9.0,8.0,4.0,8.0,6.0,7.0,10.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,5.0,8.0,8.0,10.0,8.0,6.0,9.0,9.0,15.0,8.0,8.0,6.0,8.0,6.0,8.0
197672,6.0,0.0,4.0,6.0,7.0,7.0,8.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,8.0,6.0,3.0,6.0,4.0,5.0,5.0,7.0,7.0,12.0,6.0,8.0,6.0,6.0,7.0,5.0,6.0,6.0,11.0,8.0,8.0,7.0,10.0,10.0,5.0,8.0,7.0,3.0,7.0,8.0,8.0,2.0,7.0,7.0,6.0,8.0,7.0,6.0,5.0,6.0,8.0,4.0,7.0,7.0,9.0,4.0,6.0,5.0,6.0,7.0,8.0,4.0,6.0,9.0,8.0,7.0,7.0,6.0,7.0,8.0,6.0,9.0,8.0,11.0,8.0,5.0,6.0,7.0,7.0,6.0,6.0,9.0,9.0,7.0,8.0,5.0,6.0,7.0,6.0,11.0,9.0,9.0,7.0,7.0,4.0,9.0,6.0,7.0,10.0,11.0,11.0,7.0,10.0,9.0,9.0,3.0,8.0,7.0,5.0,7.0,6.0,8.0,6.0,9.0,5.0,5.0,8.0,6.0,5.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,11.0,9.0,6.0,7.0,4.0,7.0,6.0,6.0,6.0,5.0,10.0,4.0,6.0,4.0,6.0,4.0,6.0,7.0,7.0,6.0,4.0,7.0,4.0,5.0,8.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,4.0,5.0,5.0,6.0,8.0,6.0,4.0,7.0,7.0,13.0,6.0,3.0,6.0,6.0,3.0,4.0
198124,8.0,4.0,0.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,6.0,8.0,5.0,6.0,8.0,10.0,8.0,6.0,8.0,6.0,7.0,7.0,9.0,9.0,14.0,7.0,10.0,8.0,7.0,9.0,6.0,7.0,8.0,13.0,10.0,10.0,9.0,12.0,12.0,7.0,10.0,9.0,6.0,9.0,10.0,10.0,5.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,6.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,10.0,6.0,8.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,10.0,13.0,10.0,7.0,8.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,7.0,8.0,9.0,7.0,13.0,11.0,11.0,9.0,9.0,6.0,11.0,8.0,9.0,12.0,13.0,13.0,9.0,12.0,11.0,11.0,5.0,10.0,9.0,6.0,9.0,8.0,10.0,8.0,11.0,7.0,7.0,10.0,8.0,7.0,9.0,7.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,13.0,11.0,8.0,9.0,6.0,9.0,7.0,8.0,8.0,7.0,12.0,6.0,8.0,6.0,8.0,7.0,8.0,9.0,9.0,8.0,6.0,8.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,10.0,8.0,6.0,9.0,9.0,15.0,8.0,2.0,8.0,7.0,6.0,3.0
201820,8.0,6.0,6.0,0.0,7.0,6.0,7.0,4.0,6.0,4.0,4.0,6.0,4.0,2.0,6.0,10.0,8.0,6.0,6.0,6.0,6.0,5.0,9.0,9.0,14.0,6.0,8.0,8.0,5.0,7.0,6.0,5.0,6.0,13.0,10.0,10.0,9.0,12.0,12.0,7.0,10.0,9.0,5.0,9.0,7.0,10.0,5.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,10.0,6.0,9.0,9.0,8.0,7.0,8.0,5.0,8.0,9.0,10.0,4.0,6.0,11.0,10.0,9.0,9.0,8.0,9.0,7.0,5.0,11.0,10.0,13.0,8.0,7.0,5.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,5.0,8.0,9.0,5.0,13.0,11.0,11.0,9.0,9.0,6.0,11.0,8.0,9.0,12.0,13.0,13.0,9.0,12.0,11.0,11.0,9.0,10.0,9.0,4.0,9.0,8.0,10.0,8.0,11.0,7.0,7.0,10.0,8.0,7.0,9.0,5.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,13.0,11.0,8.0,9.0,6.0,9.0,6.0,8.0,8.0,7.0,12.0,6.0,6.0,4.0,8.0,5.0,8.0,9.0,6.0,8.0,6.0,6.0,4.0,4.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,8.0,6.0,9.0,9.0,15.0,8.0,5.0,6.0,6.0,6.0,5.0
255848,9.0,7.0,7.0,7.0,0.0,9.0,8.0,5.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,11.0,9.0,7.0,8.0,7.0,7.0,7.0,10.0,10.0,15.0,7.0,10.0,9.0,8.0,9.0,7.0,3.0,7.0,14.0,11.0,11.0,10.0,13.0,13.0,8.0,11.0,10.0,6.0,10.0,10.0,11.0,6.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,7.0,10.0,10.0,9.0,8.0,9.0,7.0,9.0,10.0,11.0,6.0,7.0,12.0,11.0,10.0,10.0,6.0,10.0,9.0,3.0,12.0,11.0,14.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,12.0,12.0,10.0,11.0,7.0,9.0,10.0,7.0,14.0,12.0,12.0,10.0,10.0,7.0,12.0,9.0,10.0,13.0,14.0,14.0,10.0,13.0,12.0,12.0,8.0,11.0,10.0,7.0,10.0,9.0,11.0,9.0,12.0,8.0,8.0,11.0,9.0,8.0,10.0,7.0,9.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,14.0,12.0,9.0,10.0,7.0,10.0,6.0,9.0,9.0,8.0,13.0,7.0,7.0,6.0,9.0,7.0,9.0,10.0,9.0,9.0,7.0,7.0,6.0,7.0,10.0,8.0,8.0,6.0,8.0,4.0,7.0,8.0,8.0,6.0,7.0,6.0,11.0,9.0,7.0,10.0,10.0,16.0,9.0,8.0,7.0,7.0,7.0,7.0
31317,9.0,7.0,8.0,6.0,9.0,0.0,9.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,11.0,9.0,7.0,8.0,7.0,8.0,7.0,10.0,10.0,15.0,8.0,10.0,9.0,7.0,9.0,7.0,7.0,8.0,14.0,11.0,11.0,10.0,13.0,13.0,8.0,11.0,10.0,7.0,10.0,10.0,11.0,6.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,7.0,10.0,10.0,10.0,8.0,9.0,7.0,9.0,10.0,11.0,6.0,8.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,7.0,12.0,11.0,14.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,12.0,12.0,10.0,11.0,7.0,9.0,10.0,7.0,14.0,12.0,12.0,10.0,10.0,7.0,12.0,9.0,10.0,13.0,14.0,14.0,10.0,13.0,12.0,12.0,10.0,11.0,10.0,6.0,10.0,9.0,11.0,9.0,12.0,8.0,8.0,11.0,9.0,8.0,10.0,7.0,9.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,14.0,12.0,9.0,10.0,7.0,10.0,8.0,9.0,9.0,8.0,13.0,7.0,8.0,6.0,9.0,7.0,9.0,10.0,9.0,9.0,7.0,8.0,6.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,11.0,9.0,7.0,10.0,10.0,16.0,9.0,7.0,8.0,8.0,7.0,7.0
313217,10.0,8.0,8.0,7.0,8.0,9.0,0.0,7.0,5.0,5.0,5.0,7.0,3.0,7.0,7.0,12.0,10.0,8.0,7.0,8.0,7.0,8.0,11.0,11.0,16.0,5.0,11.0,10.0,6.0,10.0,8.0,8.0,8.0,15.0,12.0,12.0,11.0,14.0,14.0,9.0,12.0,11.0,4.0,11.0,11.0,12.0,7.0,11.0,10.0,10.0,6.0,8.0,10.0,9.0,10.0,12.0,8.0,11.0,11.0,5.0,9.0,10.0,8.0,10.0,11.0,12.0,7.0,7.0,13.0,12.0,11.0,11.0,8.0,11.0,8.0,6.0,13.0,12.0,15.0,11.0,9.0,9.0,11.0,11.0,10.0,10.0,13.0,13.0,11.0,12.0,8.0,10.0,11.0,6.0,15.0,13.0,13.0,11.0,11.0,8.0,13.0,10.0,11.0,14.0,15.0,15.0,11.0,14.0,13.0,13.0,9.0,12.0,11.0,5.0,11.0,10.0,12.0,10.0,13.0,9.0,9.0,12.0,10.0,9.0,11.0,5.0,10.0,12.0,11.0,12.0,12.0,13.0,12.0,11.0,15.0,13.0,10.0,11.0,8.0,11.0,5.0,10.0,10.0,9.0,14.0,8.0,7.0,7.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0,6.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,5.0,5.0,9.0,9.0,5.0,5.0,2.0,12.0,10.0,8.0,11.0,11.0,17.0,10.0,8.0,8.0,5.0,8.0,8.0
313459,7.0,5.0,6.0,4.0,5.0,6.0,7.0,0.0,6.0,4.0,4.0,6.0,4.0,4.0,5.0,9.0,7.0,5.0,6.0,5.0,5.0,4.0,8.0,8.0,13.0,5.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,12.0,9.0,9.0,8.0,11.0,11.0,6.0,9.0,8.0,5.0,8.0,7.0,9.0,4.0,8.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,9.0,5.0,8.0,8.0,8.0,6.0,7.0,4.0,7.0,8.0,9.0,3.0,5.0,10.0,9.0,8.0,8.0,7.0,8.0,7.0,5.0,10.0,9.0,12.0,7.0,6.0,5.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,9.0,4.0,7.0,8.0,5.0,12.0,10.0,10.0,8.0,8.0,5.0,10.0,7.0,8.0,11.0,12.0,12.0,8.0,11.0,10.0,10.0,8.0,9.0,8.0,4.0,8.0,7.0,9.0,7.0,10.0,6.0,6.0,9.0,7.0,6.0,8.0,5.0,7.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,10.0,7.0,8.0,4.0,8.0,5.0,7.0,7.0,6.0,11.0,5.0,5.0,3.0,7.0,4.0,7.0,8.0,6.0,7.0,5.0,6.0,3.0,4.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,9.0,7.0,5.0,8.0,8.0,14.0,7.0,5.0,5.0,5.0,5.0,5.0
316139,7.0,4.0,7.0,6.0,7.0,8.0,5.0,6.0,0.0,4.0,4.0,6.0,2.0,6.0,6.0,9.0,7.0,3.0,6.0,5.0,6.0,6.0,8.0,8.0,13.0,4.0,9.0,7.0,5.0,8.0,6.0,7.0,7.0,12.0,9.0,9.0,8.0,11.0,11.0,6.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,8.0,8.0,7.0,5.0,7.0,7.0,6.0,7.0,9.0,5.0,8.0,8.0,6.0,4.0,7.0,6.0,7.0,8.0,9.0,5.0,6.0,10.0,9.0,8.0,8.0,7.0,8.0,7.0,5.0,10.0,9.0,12.0,9.0,6.0,7.0,8.0,8.0,7.0,7.0,10.0,10.0,8.0,9.0,6.0,7.0,8.0,5.0,12.0,10.0,10.0,8.0,8.0,5.0,10.0,7.0,8.0,11.0,12.0,12.0,8.0,11.0,10.0,10.0,8.0,9.0,8.0,4.0,8.0,7.0,9.0,7.0,10.0,6.0,6.0,9.0,7.0,6.0,8.0,4.0,7.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,10.0,7.0,8.0,5.0,8.0,4.0,7.0,7.0,6.0,11.0,5.0,6.0,5.0,7.0,4.0,7.0,8.0,8.0,7.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,1.0,6.0,4.0,4.0,1.0,3.0,9.0,7.0,5.0,8.0,8.0,14.0,7.0,5.0,7.0,4.0,3.0,7.0
