Exposure,Outcome,Confidence_Sum,Confidence_Mean,Confidence_Direction,Direction
440383,44784326,10.36,5.18,10.36,Increase
440383,44800078,2.68,2.68,2.68,Decrease
440417,40486533,6.84,6.84,6.84,Decrease
440417,4306655,6.84,6.84,6.84,Increase
440424,4234649,6.84,6.84,6.84,Increase
441589,37153627,1.69,1.69,1.69,Increase
441589,4052648,5.1,5.1,5.1,Increase
441589,4310996,6.239999999999999,2.0799999999999996,6.239999999999999,Increase
442310,37309626,6.0,6.0,6.0,Increase
442310,4186398,6.0,6.0,6.0,Increase
442310,4306655,6.84,6.84,6.84,Increase
442985,201820,3.0,3.0,3.0,Increase
442985,313217,4.0,4.0,4.0,Increase
442985,316866,3.84,3.84,3.84,Increase
442985,37018765,6.84,6.84,6.84,Increase
442985,381549,4.43,4.43,4.43,Increase
442985,40479589,2.68,2.68,2.68,Decrease
442985,4074035,1.81,1.81,1.81,Increase
442985,4102202,4.08,4.08,4.08,Increase
442985,4171825,2.0,2.0,2.0,Decrease
442985,4241216,4.52,4.52,4.52,Increase
442985,42538946,6.84,6.84,6.84,Increase
442985,4298794,13.52,3.38,13.52,Increase
442985,4299535,6.84,6.84,6.84,Increase
442985,4306703,7.290000000000001,3.6450000000000005,7.290000000000001,Increase
442985,4310996,60.71999999999999,5.06,42.99999999999999,Increase
442985,439393,6.84,6.84,6.84,Increase
442985,440383,4.52,4.52,4.52,Increase
442985,443454,4.8,4.8,4.8,Increase
442985,81902,6.0,6.0,6.0,Increase
443392,4052648,6.84,6.84,6.84,Increase
443392,4234649,2.65,2.65,2.65,Decrease
443392,4273629,5.2,5.2,5.2,Increase
443392,4295287,4.61,4.61,4.61,Increase
443392,4301351,4.34,4.34,4.34,Increase
443392,4310996,9.280000000000001,4.640000000000001,9.280000000000001,Increase
443392,440383,5.1,5.1,5.1,Increase
443432,4022241,2.45,2.45,2.45,Decrease
443432,4234649,6.84,6.84,6.84,Increase
443432,4306655,2.79,2.79,2.79,Increase
443454,255848,6.84,6.84,6.84,Increase
443454,4052648,6.84,6.84,6.84,Increase
443454,4242843,6.84,6.84,6.84,Increase
443454,443432,6.84,6.84,6.84,Increase
443700,316866,6.0,6.0,6.0,Increase
443700,4310996,6.84,6.84,6.84,Increase
443784,198124,6.84,6.84,6.84,Increase
443784,4310996,6.84,6.84,6.84,Increase
444031,4009409,6.0,6.0,6.0,Increase
444031,4186398,3.22,3.22,3.22,Increase
444031,4310996,4.34,4.34,4.34,Increase
444031,443432,4.52,4.52,4.52,Increase
44784217,4306655,6.68,6.68,6.68,Increase
44784326,4234649,4.26,4.26,4.26,Decrease
44784326,4310996,3.52,3.52,3.52,Increase
44800078,4306655,6.0,6.0,6.0,Decrease
44800078,4310996,8.68,4.34,0.0,Increase
45771363,201820,2.25,2.25,2.25,Decrease
46270002,4336673,2.0,2.0,2.0,Decrease
46271022,313217,2.0,2.0,2.0,Increase
46271022,4310996,4.0,4.0,4.0,Increase
46272492,4310996,15.370000000000001,5.123333333333334,15.370000000000001,Increase
46273821,4298794,2.25,2.25,2.25,Decrease
5,10,2.68,2.68,2.68,Increase
5,4234656,2.68,2.68,2.68,Increase
6,313217,4.61,4.61,4.61,Increase
604179,4009409,6.0,6.0,6.0,Increase
604179,42538532,5.0,5.0,5.0,Increase
604179,4306655,6.0,6.0,6.0,Increase
604179,4310996,2.68,2.68,2.68,Increase
604179,434633,6.0,6.0,6.0,Increase
604179,442310,6.0,6.0,6.0,Increase
604179,444031,6.84,6.84,6.84,Increase
604179,44784217,6.0,6.0,6.0,Increase
606770,4232457,5.0,5.0,5.0,Increase
606770,4310996,3.0,3.0,3.0,Increase
7,4310996,4.0,4.0,4.0,Increase
75053,36713755,0.51,0.51,0.51,Increase
75053,4052648,0.51,0.51,0.51,Increase
8,4119952,6.84,6.84,6.84,Increase
8,4285282,6.84,6.84,6.84,Increase
81902,373995,0.51,0.51,0.51,Increase
81902,4052648,0.51,0.51,0.51,Increase
81902,4178904,6.84,6.84,6.84,Increase
81902,4306655,0.51,0.51,0.51,Increase
